ejecucion,repeticion,n,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_solucion,conflictos,generacion_mejor,generaciones_ejecutadas,tiempo_segundos,exito
n8_p100_m0.10_r06,6,8,100,0.1,2,500,2031,"[5, 3, 1, 7, 4, 6, 0, 2]",0,2,2,0.01666019999902346,True
n8_p100_m0.10_r07,7,8,100,0.1,2,500,2032,"[1, 6, 2, 5, 7, 4, 0, 3]",0,1,1,0.01070389999949839,True
n8_p100_m0.10_r08,8,8,100,0.1,2,500,2033,"[4, 0, 7, 3, 1, 6, 2, 5]",0,3,3,0.04523189999963506,True
n8_p100_m0.10_r09,9,8,100,0.1,2,500,2034,"[7, 3, 0, 2, 5, 1, 6, 4]",0,3,3,0.0299726000012015,True
n8_p100_m0.10_r10,10,8,100,0.1,2,500,2035,"[4, 6, 1, 3, 7, 0, 2, 5]",0,5,5,0.05044859999907203,True
n8_p100_m0.20_r01,1,8,100,0.2,2,500,2026,"[0, 4, 7, 5, 2, 6, 1, 3]",0,0,0,0.004629600000043865,True
n8_p100_m0.20_r02,2,8,100,0.2,2,500,2027,"[4, 1, 3, 6, 2, 7, 5, 0]",0,3,3,0.023424499999237014,True
n8_p100_m0.20_r03,3,8,100,0.2,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.002847499999916181,True
n8_p100_m0.20_r04,4,8,100,0.2,2,500,2029,"[4, 2, 0, 6, 1, 7, 5, 3]",0,2,2,0.016653899998345878,True
n8_p100_m0.20_r05,5,8,100,0.2,2,500,2030,"[2, 5, 7, 0, 3, 6, 4, 1]",0,2,2,0.027406399996834807,True
n8_p100_m0.20_r06,6,8,100,0.2,2,500,2031,"[4, 7, 3, 0, 2, 5, 1, 6]",0,3,3,0.034372399997664616,True
n8_p100_m0.20_r07,7,8,100,0.2,2,500,2032,"[2, 5, 7, 0, 4, 6, 1, 3]",0,1,1,0.02078040000196779,True
n8_p100_m0.20_r08,8,8,100,0.2,2,500,2033,"[6, 1, 5, 2, 0, 3, 7, 4]",0,2,2,0.01632640000025276,True
n8_p100_m0.20_r09,9,8,100,0.2,2,500,2034,"[2, 0, 6, 4, 7, 1, 3, 5]",0,3,3,0.026690099999541417,True
n8_p100_m0.20_r10,10,8,100,0.2,2,500,2035,"[1, 5, 0, 6, 3, 7, 2, 4]",0,3,3,0.04101230000014766,True
n8_p200_m0.05_r01,1,8,200,0.05,2,500,2026,"[0, 4, 7, 5, 2, 6, 1, 3]",0,0,0,0.004595399997924687,True
n8_p200_m0.05_r02,2,8,200,0.05,2,500,2027,"[1, 5, 0, 6, 3, 7, 2, 4]",0,5,5,0.08901410000180476,True
n8_p200_m0.05_r03,3,8,200,0.05,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.005178400002478156,True
n8_p200_m0.05_r04,4,8,200,0.05,2,500,2029,"[5, 2, 4, 6, 0, 3, 1, 7]",0,1,1,0.018087199998262804,True
n8_p200_m0.05_r05,5,8,200,0.05,2,500,2030,"[4, 6, 0, 3, 1, 7, 5, 2]",0,0,0,0.004891399999905843,True
n8_p200_m0.05_r06,6,8,200,0.05,2,500,2031,"[0, 6, 3, 5, 7, 1, 4, 2]",0,0,0,0.005353699998522643,True
n8_p200_m0.05_r07,7,8,200,0.05,2,500,2032,"[5, 3, 0, 4, 7, 1, 6, 2]",0,1,1,0.01846289999957662,True
n8_p200_m0.05_r08,8,8,200,0.05,2,500,2033,"[3, 7, 0, 2, 5, 1, 6, 4]",0,1,1,0.018439599996781908,True
n8_p200_m0.05_r09,9,8,200,0.05,2,500,2034,"[7, 3, 0, 2, 5, 1, 6, 4]",0,1,1,0.020927600002323743,True
n8_p200_m0.05_r10,10,8,200,0.05,2,500,2035,"[6, 2, 0, 5, 7, 4, 1, 3]",0,3,3,0.047398400001839036,True
n8_p200_m0.10_r01,1,8,200,0.1,2,500,2026,"[0, 4, 7, 5, 2, 6, 1, 3]",0,0,0,0.006159199998364784,True
n8_p200_m0.10_r02,2,8,200,0.1,2,500,2027,"[4, 2, 7, 3, 6, 0, 5, 1]",0,2,2,0.041386299999430776,True
n8_p200_m0.10_r03,3,8,200,0.1,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.005269900000712369,True
n8_p200_m0.10_r04,4,8,200,0.1,2,500,2029,"[5, 2, 4, 6, 0, 3, 1, 7]",0,1,1,0.01885789999869303,True
n8_p200_m0.10_r05,5,8,200,0.1,2,500,2030,"[4, 6, 0, 3, 1, 7, 5, 2]",0,0,0,0.004220300001179567,True
n8_p200_m0.10_r06,6,8,200,0.1,2,500,2031,"[0, 6, 3, 5, 7, 1, 4, 2]",0,0,0,0.004457400002138456,True
n8_p200_m0.10_r07,7,8,200,0.1,2,500,2032,"[5, 3, 0, 4, 7, 1, 6, 2]",0,1,1,0.018565599999419646,True
n8_p200_m0.10_r08,8,8,200,0.1,2,500,2033,"[3, 5, 0, 4, 1, 7, 2, 6]",0,1,1,0.01826939999955357,True
n8_p200_m0.10_r09,9,8,200,0.1,2,500,2034,"[7, 3, 0, 2, 5, 1, 6, 4]",0,1,1,0.021120400000654627,True
n8_p200_m0.10_r10,10,8,200,0.1,2,500,2035,"[1, 5, 0, 6, 3, 7, 2, 4]",0,4,4,0.07798149999871384,True
n8_p200_m0.20_r01,1,8,200,0.2,2,500,2026,"[0, 4, 7, 5, 2, 6, 1, 3]",0,0,0,0.004770899999130052,True
n8_p200_m0.20_r02,2,8,200,0.2,2,500,2027,"[4, 6, 0, 2, 7, 5, 3, 1]",0,4,4,0.09669579999899724,True
n8_p200_m0.20_r03,3,8,200,0.2,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.004474800000025425,True
n8_p200_m0.20_r04,4,8,200,0.2,2,500,2029,"[1, 5, 7, 2, 0, 3, 6, 4]",0,1,1,0.028397800000675488,True
n8_p200_m0.20_r05,5,8,200,0.2,2,500,2030,"[4, 6, 0, 3, 1, 7, 5, 2]",0,0,0,0.00554299999930663,True
n8_p200_m0.20_r06,6,8,200,0.2,2,500,2031,"[0, 6, 3, 5, 7, 1, 4, 2]",0,0,0,0.004248799999913899,True
n8_p200_m0.20_r07,7,8,200,0.2,2,500,2032,"[1, 6, 2, 5, 7, 4, 0, 3]",0,1,1,0.021584699999948498,True
n8_p200_m0.20_r08,8,8,200,0.2,2,500,2033,"[4, 6, 0, 3, 1, 7, 5, 2]",0,4,4,0.0668584999984887,True
n8_p200_m0.20_r09,9,8,200,0.2,2,500,2034,"[4, 0, 7, 5, 2, 6, 1, 3]",0,2,2,0.04580260000147973,True
n8_p200_m0.20_r10,10,8,200,0.2,2,500,2035,"[3, 7, 0, 4, 6, 1, 5, 2]",0,3,3,0.05079059999843594,True
